sports_person_id,name,team_abbr,team_name,position,position_desc,team_id,headshot_url,flag_url,assists,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_on_target,attempt_at_goal_outside_the_penalty_area,attempted_switches_of_play,avg_speed,corners,crosses,crossing_accuracy_rate,defensive_pressures_applied,direct_defensive_pressures_applied,fdcp_top_scorer_rank,forced_turnovers,fouls_against,fouls_for,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,goalkeeper_saves,goals,headed_attempt_at_goal,indirect_red_cards,linebreak_attempted_defensive_line_rate,linebreaks_attempted_defensive_line,number_of_involvements,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,offers_to_receive_total,offsides,own_goals,passes,passing_accuracy_rate,possession,receptions_between_midfield_and_defensive_line,receptions_in_behind,receptions_under_pressure,red_cards,speed_runs,sprints,switches_of_play_rate,total_competition_matches_played,total_competition_minutes_played,total_distance,xg,xg_goal_effiency_rate,yellow_cards
448014,Alessandro Circati,AUS,Australia,DF,,285023_43976,https://digitalhub.fifa.com/transform/0bbf6585-1c6b-4416-8a3f-31a1d8d1625b/CIRCATI-Alessandro_448014,https://api.fifa.com/api/v3/picture/flags-sq-3/AUS,0.0,2.0,0.0,1.0,0.0,1.0,2.0,6.11,0.0,1.0,0.0,34.0,20.0,,7.0,4.0,2.0,,,,,1.0,0.0,80.0,5.0,290.0,1.0,5.0,24.0,7.0,23.0,30.0,0.0,0.0,143.0,82.0,,6.0,0.0,47.0,0.0,288.0,108.0,50.0,,,31266.38,0.09,0x,1.0
502945,Alexander Bernhardsson,SWE,Sweden,DF,,285023_43970,https://digitalhub.fifa.com/transform/165d5004-48b5-4a8c-86ee-d7c982b9b96c/BERNHARDSSON-Alexander_502945,https://api.fifa.com/api/v3/picture/flags-sq-3/SWE,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.85,0.0,3.0,0.0,81.0,9.0,,14.0,2.0,5.0,,,,,0.0,0.0,67.0,3.0,150.0,15.0,15.0,10.0,10.0,30.0,40.0,0.0,0.0,67.0,76.0,,28.0,0.0,36.0,0.0,268.0,90.0,100.0,,,25109.78,0.05,0x,0.0
402021,Remo Freuler,SUI,Switzerland,MF,,285023_43971,https://digitalhub.fifa.com/transform/821a56dc-683d-4326-a784-21e25428a18f/FREULER-Remo_402021,https://api.fifa.com/api/v3/picture/flags-sq-3/SUI,0.0,2.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,3.0,33.0,120.0,21.0,,13.0,6.0,2.0,,,,,0.0,0.0,67.0,6.0,440.0,31.0,75.0,81.0,145.0,42.0,187.0,1.0,0.0,205.0,92.0,,19.0,3.0,77.0,0.0,666.0,144.0,0.0,,,46073.88,0.07,0x,0.0
441179,Merih Demiral,TUR,Türkiye,DF,,285023_43972,https://digitalhub.fifa.com/transform/905e3e12-72e9-440d-96f5-0b3a48aebe92/DEMIRAL-Merih_441179,https://api.fifa.com/api/v3/picture/flags-sq-3/TUR,0.0,6.0,0.0,3.0,2.0,3.0,2.0,4.05,0.0,1.0,0.0,9.0,3.0,,3.0,2.0,1.0,,,,,2.0,0.0,40.0,5.0,273.0,17.0,4.0,15.0,19.0,17.0,36.0,3.0,0.0,124.0,96.0,,10.0,2.0,26.0,0.0,153.0,57.0,100.0,,,21211.19,0.24,0x,0.0
482976,Amar Dedic,BIH,Bosnia and Herzegovina,DF,,285023_44037,https://digitalhub.fifa.com/transform/87dcec5a-fbf4-45d7-8f1e-26e00140cce7/DEDIC-Amar_482976,https://api.fifa.com/api/v3/picture/flags-sq-3/BIH,0.0,2.0,0.0,0.0,1.0,2.0,3.0,4.44,0.0,0.0,0.0,95.0,11.0,,14.0,6.0,3.0,,,,,0.0,0.0,0.0,1.0,204.0,23.0,19.0,14.0,11.0,45.0,56.0,0.0,0.0,99.0,81.0,,3.0,1.0,40.0,0.0,356.0,141.0,100.0,,,30604.3,0.06,0x,1.0
313559,Ricardo Rodriguez,SUI,Switzerland,DF,,285023_43971,https://digitalhub.fifa.com/transform/07f27983-8eee-43f3-b68c-b45b6f806785/RODRIGUEZ-Ricardo_313559,https://api.fifa.com/api/v3/picture/flags-sq-3/SUI,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.94,4.0,13.0,8.0,36.0,9.0,,16.0,9.0,1.0,,,,,0.0,0.0,37.0,19.0,452.0,32.0,23.0,14.0,11.0,58.0,69.0,0.0,0.0,221.0,81.0,,28.0,3.0,54.0,0.0,389.0,148.0,50.0,,,39121.21,0.02,0x,0.0
494557,Patrick Beach,AUS,Australia,GK,,285023_43976,https://digitalhub.fifa.com/transform/0ea3c68c-c425-41c4-b973-c60e2d5b4685/BEACH-Patrick_494557,https://api.fifa.com/api/v3/picture/flags-sq-3/AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,65.0,56.0,11.0,,0.0,0.0,0.0,2.0,147.0,0.0,0.0,11.0,7.0,4.0,11.0,0.0,0.0,87.0,63.0,,0.0,0.0,1.0,0.0,13.0,4.0,0.0,,,13480.37,0.0,0x,0.0
483304,Gustaf Lagerbielke,SWE,Sweden,DF,,285023_43970,https://digitalhub.fifa.com/transform/12a80a14-c33d-480f-8742-315485c114c1/LAGERBIELKE-Gustaf_483304,https://api.fifa.com/api/v3/picture/flags-sq-3/SWE,,,,3.0,,0.0,1.0,6.18,,1.0,0.0,50.0,14.0,,8.0,1.0,3.0,,,,,3.0,0.0,57.0,7.0,433.0,0.0,8.0,38.0,11.0,35.0,46.0,1.0,0.0,206.0,84.0,,11.0,0.0,35.0,0.0,436.0,119.0,100.0,,,41310.47,,,0.0
390209,Sarpreet Singh,NZL,New Zealand,MF,,285023_43978,https://digitalhub.fifa.com/transform/3c43e6c2-50b4-4cb3-ba2e-e94f9a928edd/SINGH-Sarpreet_390209,https://api.fifa.com/api/v3/picture/flags-sq-3/NZL,0.0,4.0,0.0,2.0,2.0,2.0,2.0,7.24,0.0,7.0,0.0,104.0,7.0,,10.0,2.0,2.0,,,,,0.0,0.0,17.0,6.0,196.0,39.0,77.0,23.0,65.0,74.0,139.0,0.0,0.0,76.0,76.0,,54.0,1.0,63.0,0.0,381.0,118.0,100.0,,,27406.52,0.22,0x,1.0
430753,Unai Simon,ESP,Spain,GK,,285023_43969,https://digitalhub.fifa.com/transform/41e0f920-bd7d-4bd6-882b-c83ed33e3f26/SIMON-Unai_430753,https://api.fifa.com/api/v3/picture/flags-sq-3/ESP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.35,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,52.0,39.0,6.0,,0.0,0.0,0.0,1.0,287.0,0.0,0.0,64.0,44.0,20.0,64.0,0.0,0.0,146.0,92.0,,0.0,0.0,2.0,0.0,83.0,26.0,100.0,,,22710.51,0.0,0x,0.0
436743,Ermedin Demirovic,BIH,Bosnia and Herzegovina,FW,,285023_44037,https://digitalhub.fifa.com/transform/b9e9f187-0936-4aba-9c70-2a4bcf2281e0/DEMIROVIC-Ermedin_436743,https://api.fifa.com/api/v3/picture/flags-sq-3/BIH,0.0,4.0,0.0,1.0,4.0,3.0,0.0,6.09,0.0,0.0,0.0,131.0,15.0,,19.0,11.0,3.0,,,,,0.0,0.0,80.0,5.0,112.0,67.0,31.0,8.0,82.0,24.0,106.0,1.0,0.0,39.0,74.0,,36.0,3.0,53.0,0.0,375.0,176.0,0.0,,,40423.23,0.08,0x,1.0
